Document Title,Discovered,Official Domain Verified,Current Version,Amendments Traced,Indexed & RAG Ready,Status
"Legal Metrology Act, 2009",YES,YES,YES,YES,YES,CURRENT
"Legal Metrology (Packaged Commodities) Rules, 2011",YES,YES,YES,YES,YES,CURRENT
"Legal Metrology (General) Rules, 2011",YES,YES,YES,YES,YES,CURRENT
"Legal Metrology (Approval of Models) Rules, 2011",YES,YES,YES,YES,YES,CURRENT
"Legal Metrology (National Standards) Rules, 2011",YES,YES,YES,YES,YES,CURRENT
"Central Packaged Commodities Amendment Rules, 2017",YES,YES,YES,YES,YES,AMENDMENT
"Central Packaged Commodities Amendment Rules, 2021",YES,YES,YES,YES,YES,AMENDMENT
"Central Packaged Commodities Amendment Rules, 2022",YES,YES,YES,YES,YES,AMENDMENT
"Maharashtra Legal Metrology (Enforcement) Rules, 2011",YES,YES,YES,YES,YES,CURRENT
"Maharashtra Legal Metrology Amendment Rules, 2018",YES,YES,YES,YES,YES,AMENDMENT
"Maharashtra Legal Metrology Amendment Rules, 2021",YES,YES,YES,YES,YES,AMENDMENT
Maharashtra Officer Verification & Stamping Advisory,YES,YES,YES,N/A,YES,GUIDANCE
Department of Consumer Affairs Official FAQ,YES,YES,YES,N/A,YES,FAQ
Official Form - Seizure List Form II,YES,YES,YES,N/A,YES,PROCEDURE
Official Form - Notice Template,YES,YES,YES,N/A,YES,PROCEDURE
District Specific Internal Notices,NO,OFFICIAL_FORM_NOT_FOUND,N/A,N/A,NO,NOT_FOUND
